"Cidade","Nº Oc.","Data","Bairro","Local","Emergência","Viaturas","Obm.","Latitude","Longitude","todos_subgrupos","Detalhar"
"PORTO ALEGRE","548810","01/08/2023 - 10:31","MENINO DEUS","OSCAR BITTENCOURT","AÇÕES PREVENTIVAS","ABT-1366","1º BBM / 1ª CIA / 1º PEL / AÇORIANOS","-30.058489962077097","-51.22422695159912","RESGATE",""
"PORTO ALEGRE","549065","02/08/2023 - 07:56","APARÍCIO BORGES","CORONEL APARICIO BORGES","INCÊNDIO","ABT-1250","1º BBM / 1ª CIA / 2º PEL / TERESÓPOLIS","-30.071373398022725","-51.19315624237061","EDIFICAÇÃO RESIDENCIAL UNIFAMILIAR | TRANSFORMADOR/REDE ELÉTRICA",""
"PORTO ALEGRE","549086","02/08/2023 - 09:37","PETRÓPOLIS","ITAJAÍ","SALVAMENTO/BUSCA/RESGATE","ABT-1365","1º BBM / 2ª CIA / 1º PEL / FLORESTA","-30.036628391207667","-51.18422986436789","DE ANIMAL",""
"PORTO ALEGRE","549126","02/08/2023 - 12:00","CENTRO","JÚLIO DE CASTILHOS","AÇÕES PREVENTIVAS","ABT-1366","1º BBM / 1ª CIA / 1º PEL / AÇORIANOS","-30.026666496304337","-51.227059364318855","VISTORIA DE HIDRANTES",""
"PORTO ALEGRE","549128","02/08/2023 - 12:01","CENTRO","JÚLIO DE CASTILHOS","AÇÕES PREVENTIVAS","ABT-1366","1º BBM / 1ª CIA / 1º PEL / AÇORIANOS","-30.025723663712856","-51.22426986694337","VISTORIA DE HIDRANTES",""
"PORTO ALEGRE","549147","02/08/2023 - 13:13","PARTENON","BENTO GONÇALVES","AÇÕES PREVENTIVAS","ABT-1250","1º BBM / 1ª CIA / 2º PEL / TERESÓPOLIS","-30.061851423801652","-51.165390014648445","VISTORIA DE HIDRANTES",""
"PORTO ALEGRE","549161","02/08/2023 - 13:54","CENTRO HISTÓRICO","LARGO JORNALISTA GLENIO PERES","AÇÕES PREVENTIVAS","ABT-1366","1º BBM / 1ª CIA / 1º PEL / AÇORIANOS","-30.02799945121938","-51.22754216194153","FESTAS E EVENTOS",""
"PORTO ALEGRE","549178","02/08/2023 - 14:34","BELEM NOVO","AVENIDA HEITOR VIEIRA","AVERIGUAÇÃO/CORTE DE ÁRVORE","ABT-1226","1º BBM / 1ª CIA / 5º PEL / BELÉM NOVO","-30.2129683","-51.1796355","CORTE PARCIAL",""
"PORTO ALEGRE","549178","02/08/2023 - 14:34","BELEM NOVO","AVENIDA HEITOR VIEIRA","AVERIGUAÇÃO/CORTE DE ÁRVORE","ABT-1078","BBS / 1ª CIA / 1º PEL / TERRESTRE","-30.213184377934205","-51.1789083480835","CORTE PARCIAL",""
"PORTO ALEGRE","549181","02/08/2023 - 14:39","FLORESTA","RUA 3 DE MAIO","ATENDIMENTO PRÉ-HOSPITALAR","AR-0455","1º BBM / 1ª CIA / 2º PEL / TERESÓPOLIS","-30.01537514798897","-51.201137250494874","",""
