"Cidade","Nº Oc.","Data","Bairro","Local","Emergência","Viaturas","Obm.","Latitude","Longitude","todos_subgrupos","Detalhar"
"PORTO ALEGRE","712049","01/12/2024 - 01:35","RUBEM BERTA","COMISSÁRIO BERGMANN","INCÊNDIO","ABT-1363","1º BBM / 2ª CIA / 2º PEL / PASSO D`AREIA","-30.00425902495032","-51.125199794769294","VEGETAÇÃO",""
"PORTO ALEGRE","712075","01/12/2024 - 08:02","PARTENON","DOS BURGUESES","SALVAMENTO/BUSCA/RESGATE","ABT-327","1º BBM / 1ª CIA / 2º PEL / TERESÓPOLIS","-30.060309994196537","-51.167600154876716","DE ANIMAL",""
"PORTO ALEGRE","712085","01/12/2024 - 09:20","PARTENON","ALBION","AVERIGUAÇÃO/CORTE DE ÁRVORE","APP-9787","BBS / 1ª CIA / 1º PEL / TERRESTRE","-30.059541124846167","-51.16586226529085","CORTE TOTAL",""
"PORTO ALEGRE","712087","01/12/2024 - 09:26","HÍPICA","JORGE BABOT MIRANDA","AVERIGUAÇÃO/MANEJO DE INSETOS","ABT-1226","1º BBM / 1ª CIA / 5º PEL / BELÉM NOVO","-30.15967374348412","-51.17721319198609","VISTORIA",""
"PORTO ALEGRE","712102","01/12/2024 - 09:53","HUMAITÁ","PALMIRA GOBBI","SALVAMENTO/BUSCA/RESGATE","ABT-1365","1º BBM / 2ª CIA / 1º PEL / FLORESTA","-29.979641628472198","-51.189144627052","DE ANIMAL",""
"PORTO ALEGRE","712105","01/12/2024 - 09:58","LOMBA DO PINHEIRO","AYRTON SENNA","SALVAMENTO/BUSCA/RESGATE","ABT-327","1º BBM / 1ª CIA / 2º PEL / TERESÓPOLIS","-30.117336179230335","-51.111111636946724","DE ANIMAL",""
"PORTO ALEGRE","712111","01/12/2024 - 10:30","CENTRO","WASHINGTON LUIZ","AÇÕES PREVENTIVAS","ABT-1366","1º BBM / 1ª CIA / 1º PEL / AÇORIANOS","-30.03619185362176","-51.23412966728211","APOIO À PESSOA OU INSTITUIÇÃO",""
"PORTO ALEGRE","712114","01/12/2024 - 10:46","HUMAITÁ","PALMIRA GOBBI","AÇÕES PREVENTIVAS","ABT-1365","1º BBM / 2ª CIA / 1º PEL / FLORESTA","-29.9830902727284","-51.19065478851056","VISTORIA DE HIDRANTES",""
"PORTO ALEGRE","712120","01/12/2024 - 11:09","BELÉM NOVO","INÁCIO ANTÔNIO DA SILVA","AVERIGUAÇÃO/MANEJO DE INSETOS","ABT-1226","1º BBM / 1ª CIA / 5º PEL / BELÉM NOVO","-30.21151550808258","-51.182084083557136","VISTORIA",""
"PORTO ALEGRE","712121","01/12/2024 - 11:09","CENTRO","CORONEL FERNANDO MACHADO","AVERIGUAÇÃO/MANEJO DE INSETOS","ABT-1366","1º BBM / 1ª CIA / 1º PEL / AÇORIANOS","-30.03481721206566","-51.2358570098877","EXTERMÍNIO",""
"PORTO ALEGRE","712123","01/12/2024 - 11:12","CRISTO REDENTOR","ASSIS BRASIL","AÇÕES PREVENTIVAS","ABT-1363","1º BBM / 2ª CIA / 2º PEL / PASSO D`AREIA","-30.010432732794715","-51.15757942199707","APOIO À PESSOA OU INSTITUIÇÃO | TERRESTRE",""
"PORTO ALEGRE","712124","01/12/2024 - 11:20","HUMAITÁ","PALMIRA GOBBI","AÇÕES PREVENTIVAS","ABT-1365","1º BBM / 2ª CIA / 1º PEL / FLORESTA","-29.983039038549098","-51.19054044792932","VISTORIA DE HIDRANTES",""
"PORTO ALEGRE","712126","01/12/2024 - 11:25","HUMAITÁ","AMYNTHAS JACQUES DE MORAES","AÇÕES PREVENTIVAS","ABT-1365","1º BBM / 2ª CIA / 1º PEL / FLORESTA","-29.988501866216556","-51.19130048618843","VISTORIA DE HIDRANTES",""
"PORTO ALEGRE","712128","01/12/2024 - 11:27","CHAPÉU DO SOL","ESTRADA FRANCISCA DE OLIVEIRA VIEIRA","INCÊNDIO","ABT-1364","1º BBM / 1ª CIA / 4º PEL / RESTINGA","-30.184791193419777","-51.147902011871345","VEGETAÇÃO",""
"PORTO ALEGRE","712128","01/12/2024 - 11:27","CHAPÉU DO SOL","ESTRADA FRANCISCA DE OLIVEIRA VIEIRA","INCÊNDIO","ABT-1226","1º BBM / 1ª CIA / 5º PEL / BELÉM NOVO","-30.185403281780513","-51.14867448806763","VEGETAÇÃO",""
"PORTO ALEGRE","712133","01/12/2024 - 11:43","CRISTO REDENTOR","FRANCISCO TREIN","AÇÕES PREVENTIVAS","ABT-1363","1º BBM / 2ª CIA / 2º PEL / PASSO D`AREIA","-30.011027320941917","-51.15998268127442","VISTORIA DE HIDRANTES",""
"PORTO ALEGRE","712135","01/12/2024 - 11:45","CRISTO REDENTOR","ASSIS BRASIL","AÇÕES PREVENTIVAS","ABT-1363","1º BBM / 2ª CIA / 2º PEL / PASSO D`AREIA","-30.01052563742764","-51.15719318389893","VISTORIA DE HIDRANTES",""
"PORTO ALEGRE","712139","01/12/2024 - 12:10","FLORESTA","FARRAPOS","INCÊNDIO","ABT-1365","1º BBM / 2ª CIA / 1º PEL / FLORESTA","-30.02607557147483","-51.21847455648057","CONTAINER",""
"PORTO ALEGRE","712154","01/12/2024 - 13:16","CENTRO","RIACHUELO","SALVAMENTO/BUSCA/RESGATE","ABT-1366","1º BBM / 1ª CIA / 1º PEL / AÇORIANOS","-30.03414846063016","-51.23896837234498","DE ANIMAL",""
"PORTO ALEGRE","712157","01/12/2024 - 13:36","JARDIM CARVALHO","RUA GRÉCIA","INCÊNDIO","ABT-327","1º BBM / 1ª CIA / 2º PEL / TERESÓPOLIS","-30.06478564515042","-51.14352455870434","LIXO | VEGETAÇÃO",""
"PORTO ALEGRE","712157","01/12/2024 - 13:36","JARDIM CARVALHO","RUA GRÉCIA","INCÊNDIO","ABT-1363","1º BBM / 2ª CIA / 2º PEL / PASSO D`AREIA","-30.06489706956336","-51.14354610443116","VEGETAÇÃO",""
"PORTO ALEGRE","712165","01/12/2024 - 13:49","JARDIM ITU SABARÁ","ALBERTO PASQUALINI","AVERIGUAÇÃO/MANEJO DE INSETOS","ABT-1363","1º BBM / 2ª CIA / 2º PEL / PASSO D`AREIA","-30.02979217764896","-51.142237186431885","VISTORIA",""
"PORTO ALEGRE","712174","01/12/2024 - 14:13","ESPÍRITO SANTO","CORONEL PEDRO AUGUSTO BITTENCOURT","AVERIGUAÇÃO/MANEJO DE INSETOS","ABT-291","1º BBM / 1ª CIA / 3º PEL / ASSUNÇÃO","-30.14262213768936","-51.21821879349142","EXTERMÍNIO",""
"PORTO ALEGRE","712176","01/12/2024 - 14:17","SANTA TEREZA","RUA DORMÊNIO","SALVAMENTO/BUSCA/RESGATE","ABT-1366","1º BBM / 1ª CIA / 1º PEL / AÇORIANOS","-30.07546324803816","-51.228046417236335","DE ANIMAL",""
"PORTO ALEGRE","712184","01/12/2024 - 14:53","CHAPÉU DO SOL","ESTRADA FRANCISCA DE OLIVEIRA VIEIRA","INCÊNDIO","ABT-1364","1º BBM / 1ª CIA / 4º PEL / RESTINGA","-30.184902482495538","-51.148009300231934","VEGETAÇÃO",""
"PORTO ALEGRE","712184","01/12/2024 - 14:53","CHAPÉU DO SOL","ESTRADA FRANCISCA DE OLIVEIRA VIEIRA","INCÊNDIO","ABT-1226","1º BBM / 1ª CIA / 5º PEL / BELÉM NOVO","-30.18521780086074","-51.148395538330085","VEGETAÇÃO",""
"PORTO ALEGRE","712185","01/12/2024 - 15:12","CENTRO","CORONEL VICENTE","INCÊNDIO","ABT-1366","1º BBM / 1ª CIA / 1º PEL / AÇORIANOS","-30.024869068789094","-51.22144818305969","CONTAINER | LIXO",""
"PORTO ALEGRE","712186","01/12/2024 - 15:15","PASSO DAREIA","24 DE JUNHO","AVERIGUAÇÃO/MANEJO DE INSETOS","ABT-1365","1º BBM / 2ª CIA / 1º PEL / FLORESTA","-30.010341488384505","-51.1777718562458","VISTORIA",""
"PORTO ALEGRE","712192","01/12/2024 - 15:33","HUMAITÁ","PADRE LEOPOLDO BRENTANO","AÇÕES PREVENTIVAS","ABT-291","1º BBM / 1ª CIA / 3º PEL / ASSUNÇÃO","-29.979341954739944","-51.186890602111816","FESTAS E EVENTOS",""
"PORTO ALEGRE","712192","01/12/2024 - 15:33","HUMAITÁ","PADRE LEOPOLDO BRENTANO","AÇÕES PREVENTIVAS","ABT-1365","1º BBM / 2ª CIA / 1º PEL / FLORESTA","-29.97302374864915","-51.195934538647016","APOIO À PESSOA OU INSTITUIÇÃO",""
"PORTO ALEGRE","712196","01/12/2024 - 15:43","CENTRO","SENADOR SALGADO FILHO","INCÊNDIO","ABT-1366","1º BBM / 1ª CIA / 1º PEL / AÇORIANOS","-30.030804635761815","-51.225771903991706","CONTAINER | LIXO",""
"PORTO ALEGRE","712198","01/12/2024 - 15:47","SARANDI","HOMERO GUERREIRO","AÇÕES PREVENTIVAS","ABT-1365","1º BBM / 2ª CIA / 1º PEL / FLORESTA","-30.007666620798243","-51.126339837315676","APOIO À PESSOA OU INSTITUIÇÃO",""
"PORTO ALEGRE","712207","01/12/2024 - 16:06","CENTRO","JERÔNIMO COELHO","INCÊNDIO","ABT-1366","1º BBM / 1ª CIA / 1º PEL / AÇORIANOS","-30.032430120275084","-51.229076385498054","CONTAINER | LIXO",""
"PORTO ALEGRE","712213","01/12/2024 - 16:30","CENTRO","RIACHUELO","INCÊNDIO","ABT-1366","1º BBM / 1ª CIA / 1º PEL / AÇORIANOS","-30.0316498910357","-51.230792999267585","CONTAINER | LIXO",""
"PORTO ALEGRE","712221","01/12/2024 - 16:49","VILA JOÃO PESSOA","R. E","AVERIGUAÇÃO/MANEJO DE INSETOS","ABT-8514","1º BBM / 2ª CIA / 3º PEL / PARTENON","-30.06536133660052","-51.17629051208497","VISTORIA",""
"PORTO ALEGRE","712225","01/12/2024 - 17:05","CENTRO","JÚLIO DE CASTILHOS","INCÊNDIO","ABT-1366","1º BBM / 1ª CIA / 1º PEL / AÇORIANOS","-30.026346027119097","-51.22561633586884","CONTAINER | LIXO",""
"PORTO ALEGRE","712233","01/12/2024 - 17:41","CRISTAL","WENCESLAU ESCOBAR","AÇÕES PREVENTIVAS","ABT-291","1º BBM / 1ª CIA / 3º PEL / ASSUNÇÃO","-30.09963682593276","-51.2485814425022","VISTORIA DE HIDRANTES",""
"PORTO ALEGRE","712236","01/12/2024 - 17:49","TRISTEZA","GENERAL RONDON","AÇÕES PREVENTIVAS","ABT-291","1º BBM / 1ª CIA / 3º PEL / ASSUNÇÃO","-30.104983160083467","-51.25334537619119","VISTORIA DE HIDRANTES",""
"PORTO ALEGRE","712240","01/12/2024 - 18:07","SERRARIA","AV. DA SERRARIA 2893","AÇÕES PREVENTIVAS","ABT-291","1º BBM / 1ª CIA / 3º PEL / ASSUNÇÃO","-30.169506344731758","-51.21605190900026","APOIO À PESSOA OU INSTITUIÇÃO",""
"PORTO ALEGRE","712243","01/12/2024 - 18:09","FARRAPOS","TANCREDO NEVES","AVERIGUAÇÃO/MANEJO DE INSETOS","ABT-1365","1º BBM / 2ª CIA / 1º PEL / FLORESTA","-29.988080253483243","-51.19516627996047","VISTORIA",""
"PORTO ALEGRE","712255","01/12/2024 - 18:34","VILA JOÃO PESSOA","JUAREZ TÁVORA","AÇÕES PREVENTIVAS","ABT-8514","1º BBM / 2ª CIA / 3º PEL / PARTENON","-30.06584417200907","-51.17405891418458","VISTORIA DE HIDRANTES",""
"PORTO ALEGRE","712258","01/12/2024 - 18:36","SÃO JOSÉ","SALDANHA DA GAMA","AÇÕES PREVENTIVAS","ABT-8514","1º BBM / 2ª CIA / 3º PEL / PARTENON","-30.06316997706725","-51.16558313369752","VISTORIA DE HIDRANTES",""
"PORTO ALEGRE","712274","01/12/2024 - 19:11","CENTRO","DOS ANDRADAS","AÇÕES PREVENTIVAS","ABT-1366","1º BBM / 1ª CIA / 1º PEL / AÇORIANOS","-30.032690195323287","-51.23774528503419","VISTORIA DE HIDRANTES",""
"PORTO ALEGRE","712275","01/12/2024 - 19:13","CENTRO","DOS ANDRADAS","AÇÕES PREVENTIVAS","ABT-1366","1º BBM / 1ª CIA / 1º PEL / AÇORIANOS","-30.0323372361639","-51.23690843582154","VISTORIA DE HIDRANTES",""
"PORTO ALEGRE","712298","01/12/2024 - 19:50","CIDADE BAIXA","JOSE DO PATROCINIO","INCÊNDIO","ABT-1366","1º BBM / 1ª CIA / 1º PEL / AÇORIANOS","-30.036684119271712","-51.22672677040101","EDIFICAÇÃO RESIDENCIAL UNIFAMILIAR",""
"PORTO ALEGRE","712317","01/12/2024 - 20:22","NONOAI","AVENIDA NONOAI","AÇÕES PREVENTIVAS","ABT-327","1º BBM / 1ª CIA / 2º PEL / TERESÓPOLIS","-30.0873650958302","-51.216652349313726","VISTORIA DE HIDRANTES",""
"PORTO ALEGRE","712321","01/12/2024 - 20:32","NONOAI","AV. FABIO ARAUJO DOS SANTOS","AÇÕES PREVENTIVAS","ABT-327","1º BBM / 1ª CIA / 2º PEL / TERESÓPOLIS","-30.096035275001476","-51.22308824207426","VISTORIA DE HIDRANTES",""
"PORTO ALEGRE","712327","01/12/2024 - 20:46","RESTINGA","OLIMPIO TABAJARA","AÇÕES PREVENTIVAS","ABT-1364","1º BBM / 1ª CIA / 4º PEL / RESTINGA","-30.144422066004346","-51.13927602767944","VISTORIA DE HIDRANTES",""
"PORTO ALEGRE","712328","01/12/2024 - 20:47","RESTINGA","SOLON VIEIRA MARQUES","AÇÕES PREVENTIVAS","ABT-1364","1º BBM / 1ª CIA / 4º PEL / RESTINGA","-30.144143728812505","-51.13633632659913","VISTORIA DE HIDRANTES",""
"PORTO ALEGRE","712341","01/12/2024 - 21:28","ABERTA DOS MORROS","SENO ANTÔNIO CORNELY","SALVAMENTO/BUSCA/RESGATE","ABT-1364","1º BBM / 1ª CIA / 4º PEL / RESTINGA","-30.152382177313022","-51.16375923156739","DE ANIMAL",""
"PORTO ALEGRE","712376","01/12/2024 - 22:39","ILHA DO PAVÃO","RUA A","AÇÕES PREVENTIVAS","ABT-1365","1º BBM / 2ª CIA / 1º PEL / FLORESTA","-29.99312022336734","-51.22004704685862","DESABAMENTO/SOTERRAMENTO | INSPEÇÃO/REMOÇÃO DE FONTE DE PERIGO | TERRESTRE",""
"PORTO ALEGRE","712380","01/12/2024 - 22:51","VILA IPIRANGA","AVENIDA DOM CLÁUDIO JOSÉ GONÇALVES PONCE DE LEÃO","SALVAMENTO/BUSCA/RESGATE","ABT-1363","1º BBM / 2ª CIA / 2º PEL / PASSO D`AREIA","-30.011863454493966","-51.14620685577393","ELEVADORES",""
"PORTO ALEGRE","712381","01/12/2024 - 22:53","SANTANA","SÃO LUÍS","SALVAMENTO/BUSCA/RESGATE","ABT-1366","1º BBM / 1ª CIA / 1º PEL / AÇORIANOS","-30.051079485893407","-51.20201826095582","ELEVADORES",""
"PORTO ALEGRE","712383","01/12/2024 - 22:56","AUXILIADORA","CORONEL BORDINI","SALVAMENTO/BUSCA/RESGATE","APP-9787","BBS / 1ª CIA / 1º PEL / TERRESTRE","-30.021788749399075","-51.196936982839446","ELEVADORES",""
