"Cidade","Nº Oc.","Data","Bairro","Local","Emergência","Viaturas","Obm.","Latitude","Longitude","todos_subgrupos","Detalhar"
"PORTO ALEGRE","868323","01/02/2026 - 01:13","CENTRO","CORONEL FERNANDO MACHADO","INCÊNDIO","ABT-1364","1º BBM / 1ª CIA / 1º PEL / AÇORIANOS","-30.034770771139563","-51.235513687133796","CONTAINER | LIXO",""
"PORTO ALEGRE","868327","01/02/2026 - 02:39","PASSO DAS PEDRAS","MANOEL ELIAS","INCÊNDIO","ABT-1363","1º BBM / 2ª CIA / 2º PEL / PASSO D`AREIA","-30.03555560719483","-51.121670067191836","EDIFICAÇÃO MULTIFAMILIAR",""
"PORTO ALEGRE","868330","01/02/2026 - 02:53","PRAIA DE BELAS","PADRE CACIQUE","SALVAMENTO/BUSCA/RESGATE","ABT-1364","1º BBM / 1ª CIA / 1º PEL / AÇORIANOS","-30.07730153644636","-51.24510526657105","COLISÃO/CHOQUE",""
"PORTO ALEGRE","868330","01/02/2026 - 02:53","PRAIA DE BELAS","PADRE CACIQUE","ATENDIMENTO PRÉ-HOSPITALAR","AR-1628","1º BBM / 1ª CIA / 2º PEL / TERESÓPOLIS","-30.077598630356555","-51.24544858932496","",""
"PORTO ALEGRE","868338","01/02/2026 - 05:33","CENTRO","DEMÉTRIO RIBEIRO","INCÊNDIO","ABT-1364","1º BBM / 1ª CIA / 1º PEL / AÇORIANOS","-30.03534663708488","-51.23723030090333","EDIFICAÇÃO MULTIFAMILIAR",""
"PORTO ALEGRE","868364","01/02/2026 - 09:12","BOM FIM","RUA IRMÃO JOSÉ OTÃO","INCÊNDIO","ABT-1364","1º BBM / 1ª CIA / 1º PEL / AÇORIANOS","-30.030786058641866","-51.21622323989868","EDIFICAÇÃO RESIDENCIAL UNIFAMILIAR",""
"PORTO ALEGRE","868373","01/02/2026 - 10:05","JARDIM ITU SABARÁ","DANTE POGGETTI","AVERIGUAÇÃO/MANEJO DE INSETOS","ABT-1363","1º BBM / 2ª CIA / 2º PEL / PASSO D`AREIA","-30.025663286158274","-51.14087998784415","VISTORIA",""
"PORTO ALEGRE","868374","01/02/2026 - 10:15","PROTÁSIO ALVES","DOUTOR ALBERTO VIANNA ROSA","AVERIGUAÇÃO/MANEJO DE INSETOS","ABT-1365","1º BBM / 2ª CIA / 3º PEL / PARTENON","-30.040863634751584","-51.12496376037598","VISTORIA",""
"PORTO ALEGRE","868400","01/02/2026 - 11:13","FLORESTA","AV FARRAPOS","AÇÕES PREVENTIVAS","ABT-0597","1º BBM / 2ª CIA / 1º PEL / FLORESTA","-30.024478925179032","-51.21427176916951","APOIO À PESSOA OU INSTITUIÇÃO",""
"PORTO ALEGRE","868409","01/02/2026 - 11:55","CRISTAL","CAPIVARI","ATENDIMENTO PRÉ-HOSPITALAR","AR-1628","1º BBM / 1ª CIA / 2º PEL / TERESÓPOLIS","-30.08346605225971","-51.237852573394775","",""
