"Cidade","Nº Oc.","Data","Bairro","Local","Emergência","Viaturas","Obm.","Latitude","Longitude","todos_subgrupos","Detalhar"
"PORTO ALEGRE","601543","01/01/2024 - 00:11","ESPÍRITO SANTO","DÁRIO CARDOSO","INCÊNDIO","ABT-1364","1º BBM / 1ª CIA / 4º PEL / RESTINGA","-30.143624163953547","-51.21766090393067","EDIFICAÇÃO RESIDENCIAL UNIFAMILIAR",""
"PORTO ALEGRE","601548","01/01/2024 - 00:28","HIGIENÓPOLIS","PLÍNIO BRASIL MILANO","INCÊNDIO","ABT-1363","1º BBM / 2ª CIA / 2º PEL / PASSO D`AREIA","-30.015625968256266","-51.171848931720994","EDIFICAÇÃO MULTIFAMILIAR",""
"PORTO ALEGRE","601571","01/01/2024 - 01:39","PASSO DAREIA","GERALDO SOUZA MOREIRA","OCORRÊNCIA NÃO ATENDIDA","ABT-1365","1º BBM / 2ª CIA / 1º PEL / FLORESTA","-30.018199259670542","-51.168115139007575","",""
"PORTO ALEGRE","601577","01/01/2024 - 02:17","TERESÓPOLIS","PROFESSOR CARVALHO DE FREITAS","SALVAMENTO/BUSCA/RESGATE","ABT-327","1º BBM / 1ª CIA / 2º PEL / TERESÓPOLIS","-30.0769858731892","-51.20824098587037","DE ANIMAL",""
"PORTO ALEGRE","601593","01/01/2024 - 02:55","RUBEM BERTA","OSCAR FERREIRA","SALVAMENTO/BUSCA/RESGATE","ABT-1363","1º BBM / 2ª CIA / 2º PEL / PASSO D`AREIA","-30.002219615860763","-51.092841714442834","DE ANIMAL",""
"PORTO ALEGRE","601610","01/01/2024 - 06:21","PONTA GROSSA","REINALDO MULLER","OCORRÊNCIA NÃO ATENDIDA","ABT-1226","1º BBM / 1ª CIA / 5º PEL / BELÉM NOVO","-30.17368019645522","-51.184251318355514","",""
"PORTO ALEGRE","601613","01/01/2024 - 06:40","SANTO ANTÔNIO","CALDRE E FIÃO","INCÊNDIO","ABT-1366","1º BBM / 1ª CIA / 1º PEL / AÇORIANOS","-30.06440494412642","-51.202855110168464","TRANSFORMADOR/REDE ELÉTRICA",""
"PORTO ALEGRE","601613","01/01/2024 - 06:40","SANTO ANTÔNIO","CALDRE E FIÃO","ATENDIMENTO PRÉ-HOSPITALAR","AR-0455","1º BBM / 1ª CIA / 2º PEL / TERESÓPOLIS","-30.064581366734238","-51.20221138000489","",""
"PORTO ALEGRE","601628","01/01/2024 - 08:32","PRAIA DE BELAS","EDVALDO PEREIRA PAIVA","AÇÕES PREVENTIVAS","AR-0455","1º BBM / 1ª CIA / 2º PEL / TERESÓPOLIS","-30.03568100932396","-51.241285800933845","FESTAS E EVENTOS",""
"PORTO ALEGRE","601649","01/01/2024 - 10:10","JARDIM ITU SABARÁ","PROFESSORA PAULA SOARES","SALVAMENTO/BUSCA/RESGATE","ABT-1363","1º BBM / 2ª CIA / 2º PEL / PASSO D`AREIA","-30.01797630207719","-51.14049911168547","DE ANIMAL",""
"PORTO ALEGRE","601659","01/01/2024 - 10:26","PROTÁSIO ALVES","JOSÉ BONIFÁCIO","INCÊNDIO","ABT-1366","1º BBM / 1ª CIA / 1º PEL / AÇORIANOS","-30.036684119271712","-51.21097683906555","LIXO",""
