"Cidade","Nº Oc.","Data","Bairro","Local","Emergência","Viaturas","Obm.","Latitude","Longitude","todos_subgrupos","Detalhar"
"PORTO ALEGRE","909840","01/06/2026 - 00:30","JARDIM BOTÂNICO","DOUTOR SALVADOR FRANÇA","PRODUTOS PERIGOSOS","ABT-1365","1º BBM / 2ª CIA / 3º PEL / PARTENON","-30.05347541479868","-51.18169806432126","EXPLOSIVO",""
"PORTO ALEGRE","909842","01/06/2026 - 00:57","VILA NOVA","AMÉLIA DIAS HERNANDES","ATENDIMENTO PRÉ-HOSPITALAR","AR-1628","1º BBM / 1ª CIA / 2º PEL / TERESÓPOLIS","-30.11917059645172","-51.19636060527833","",""
"PORTO ALEGRE","909855","01/06/2026 - 06:59","INDEPENDÊNCIA","INDEPENDENCIA","AÇÕES PREVENTIVAS","ABT-0597","1º BBM / 2ª CIA / 1º PEL / FLORESTA","-30.029290589064953","-51.211094856262214","INSPEÇÃO/REMOÇÃO DE FONTE DE PERIGO",""
"PORTO ALEGRE","909887","01/06/2026 - 10:44","CENTRO","RUA DEMÉTRIO RIBEIRO","PRODUTOS PERIGOSOS","ABT-1364","1º BBM / 1ª CIA / 1º PEL / AÇORIANOS","-30.035959651994666","-51.229033470153816","EXPLOSIVO",""
"PORTO ALEGRE","909898","01/06/2026 - 11:11","MENINO DEUS","SILVEIRO","OCORRÊNCIA NÃO ATENDIDA","AR-1628","1º BBM / 1ª CIA / 2º PEL / TERESÓPOLIS","-30.06164713933005","-51.22819658851713","",""
"PORTO ALEGRE","909920","01/06/2026 - 13:16","SANTA CECÍLIA","RAMIRO BARCELOS","ATENDIMENTO PRÉ-HOSPITALAR","AR-1628","1º BBM / 1ª CIA / 2º PEL / TERESÓPOLIS","-30.038133037936078","-51.2076186242128","",""
"PORTO ALEGRE","909922","01/06/2026 - 13:29","CIDADE BAIXA","BARONESA DO GRAVATAÍ","INCÊNDIO","ABT-1364","1º BBM / 1ª CIA / 1º PEL / AÇORIANOS","-30.0425353915789","-51.22594356536866","LIXO",""
"PORTO ALEGRE","909966","01/06/2026 - 14:58","SANTO ANTÔNIO","TOMAZ EDISON","OCORRÊNCIA NÃO ATENDIDA","AR-1628","1º BBM / 1ª CIA / 2º PEL / TERESÓPOLIS","-30.062482845866807","-51.20231882237969","",""
"PORTO ALEGRE","909969","01/06/2026 - 15:01","SÃO JOSÉ","SANTA MARIA","AVERIGUAÇÃO/MANEJO DE INSETOS","ABT-1365","1º BBM / 2ª CIA / 3º PEL / PARTENON","-30.072306511491966","-51.165754373561946","VISTORIA",""
"PORTO ALEGRE","909972","01/06/2026 - 15:09","CAMAQUÃ","ALARICO RIBEIRO","ATENDIMENTO PRÉ-HOSPITALAR","ABT-0596","1º BBM / 1ª CIA / 3º PEL / ASSUNÇÃO","-30.108064585280548","-51.24291658401489","",""
"PORTO ALEGRE","909984","01/06/2026 - 15:43","FARRAPOS","VOLUNTÁRIOS DA PÁTRIA","SALVAMENTO/BUSCA/RESGATE","ABT-0597","1º BBM / 2ª CIA / 1º PEL / FLORESTA","-29.986293161881164","-51.20253324508668","DE ANIMAL",""
"PORTO ALEGRE","909993","01/06/2026 - 16:06","CRISTO REDENTOR","ADÃO BAINO","SALVAMENTO/BUSCA/RESGATE","ABT-0600","1º BBM / 2ª CIA / 2º PEL / PASSO D`AREIA","-30.012574148902313","-51.15590572191939","REMOÇÃO DE FONTE DE PERIGO",""
"PORTO ALEGRE","909994","01/06/2026 - 16:10","CASCATA","HERVAL","SALVAMENTO/BUSCA/RESGATE","ABT-1365","1º BBM / 2ª CIA / 3º PEL / PARTENON","-30.09421590000778","-51.17790290967177","DE ANIMAL",""
"PORTO ALEGRE","910016","01/06/2026 - 17:23","HÍPICA","RUA DO SCHNEIDER","ATENDIMENTO PRÉ-HOSPITALAR","AR-1628","1º BBM / 1ª CIA / 2º PEL / TERESÓPOLIS","-30.16384806157244","-51.17841474056467","",""
"PORTO ALEGRE","910027","01/06/2026 - 17:52","RESTINGA","IGNES FAGUNDES","AVERIGUAÇÃO/MANEJO DE INSETOS","ABT-0598","1º BBM / 1ª CIA / 4º PEL / RESTINGA","-30.144904515276814","-51.146657466888435","EXTERMÍNIO",""
"PORTO ALEGRE","910034","01/06/2026 - 18:19","PRAIA DE BELAS","AV. AURELIANO DE FIGUEIREDO PINTO","AÇÕES PREVENTIVAS","ABT-1364","1º BBM / 1ª CIA / 1º PEL / AÇORIANOS","-30.043148362014175","-51.22826099395752","APOIO À PESSOA OU INSTITUIÇÃO",""
"PORTO ALEGRE","910042","01/06/2026 - 18:32","HÍPICA","RUA DO SCHNEIDER","INCÊNDIO","ABT-0598","1º BBM / 1ª CIA / 4º PEL / RESTINGA","-30.16362543573594","-51.178843975067146","TRANSFORMADOR/REDE ELÉTRICA",""
"PORTO ALEGRE","910051","01/06/2026 - 19:38","CAVALHADA","VICENTE MONTEGGIA","OCORRÊNCIA NÃO ATENDIDA","AR-1628","1º BBM / 1ª CIA / 2º PEL / TERESÓPOLIS","-30.107786145578526","-51.22107101206552","",""
"PORTO ALEGRE","910053","01/06/2026 - 19:44","SANTO ANTÔNIO","LUIZ DE CAMÕES","AVERIGUAÇÃO/MANEJO DE INSETOS","ABT-1364","1º BBM / 1ª CIA / 1º PEL / AÇORIANOS","-30.056019864970164","-51.20128870010377","VISTORIA",""
"PORTO ALEGRE","910062","01/06/2026 - 20:14","NONOAI","OCTAVIO DE SOUZA","AVERIGUAÇÃO/MANEJO DE INSETOS","ABT-0594","1º BBM / 1ª CIA / 2º PEL / TERESÓPOLIS","-30.08587976402421","-51.222275876002264","EXTERMÍNIO",""
"PORTO ALEGRE","910067","01/06/2026 - 20:45","SANTANA","JACINTO GOMES","SALVAMENTO/BUSCA/RESGATE","ABT-1364","1º BBM / 1ª CIA / 1º PEL / AÇORIANOS","-30.037557188183268","-51.20978593826295","REMOÇÃO DE FONTE DE PERIGO",""
"PORTO ALEGRE","910069","01/06/2026 - 20:47","CHÁCARA DAS PEDRAS","DR.NILO PEÇANHA","OCORRÊNCIA NÃO ATENDIDA","AR-1628","1º BBM / 1ª CIA / 2º PEL / TERESÓPOLIS","-30.029141969737793","-51.157385613937144","",""
"PORTO ALEGRE","910073","01/06/2026 - 21:23","CASCATA","PROFESSOR OSCAR PEREIRA","ATENDIMENTO PRÉ-HOSPITALAR","AR-1628","1º BBM / 1ª CIA / 2º PEL / TERESÓPOLIS","-30.091542471925134","-51.18060313941046","",""
"PORTO ALEGRE","910076","01/06/2026 - 21:34","RESTINGA","RUA CAROLINA","INCÊNDIO","ABT-0598","1º BBM / 1ª CIA / 4º PEL / RESTINGA","-30.156389822393102","-51.14230155944825","EDIFICAÇÃO MULTIFAMILIAR | TRANSFORMADOR/REDE ELÉTRICA",""
"PORTO ALEGRE","910081","01/06/2026 - 22:13","MENINO DEUS","ÉRICO VERÍSSIMO","PRODUTOS PERIGOSOS","ABT-1364","1º BBM / 1ª CIA / 1º PEL / AÇORIANOS","-30.05178526942313","-51.21830463409424","EXPLOSIVO",""
"PORTO ALEGRE","910101","02/06/2026 - 04:26","ABERTA DOS MORROS","RUA DR. LAURO MIGUEL STURM","SALVAMENTO/BUSCA/RESGATE","ABT-0599","1º BBM / 1ª CIA / 5º PEL / BELÉM NOVO","-30.147056952519115","-51.200666705455376","DE ANIMAL",""
