"Cidade","Nº Oc.","Data","Bairro","Local","Emergência","Viaturas","Obm.","Latitude","Longitude","todos_subgrupos","Detalhar"
"PORTO ALEGRE","767695","01/05/2025 - 00:01","SÃO JOÃO","FILADÉLFIA","INCÊNDIO","ABT-0597","1º BBM / 2ª CIA / 1º PEL / FLORESTA","-30.0164899327471","-51.19315624237061","LIXO",""
"PORTO ALEGRE","767712","01/05/2025 - 03:02","MARCÍLIO DIAS","PRESIDENTE CASTELO BRANCO","INCÊNDIO","ABT-0597","1º BBM / 2ª CIA / 1º PEL / FLORESTA","-29.984490356353135","-51.202855110168464","MEIO DE TRANSPORTE",""
"PORTO ALEGRE","767713","01/05/2025 - 03:23","FLORESTA","RUA FELIX DA CUNHA","INCÊNDIO","ABT-0595","1º BBM / 1ª CIA / 1º PEL / AÇORIANOS","-30.019532328425296","-51.20223283767701","CONTAINER",""
"PORTO ALEGRE","767744","01/05/2025 - 09:26","ANCHIETA","AVENIDA DAS INDUSTRIAS","SALVAMENTO/BUSCA/RESGATE","ABT-0597","1º BBM / 2ª CIA / 1º PEL / FLORESTA","-29.987845065994865","-51.17065784836781","ELEVADORES",""
"PORTO ALEGRE","767756","01/05/2025 - 09:52","CAMAQUÃ","CAMAQUÃ","INCÊNDIO","ABT-0596","1º BBM / 1ª CIA / 3º PEL / ASSUNÇÃO","-30.10626399467211","-51.238067150115974","MEIO DE TRANSPORTE",""
"PORTO ALEGRE","767757","01/05/2025 - 09:53","CRISTAL","DIÁRIO DE NOTÍCIAS","SALVAMENTO/BUSCA/RESGATE","ABT-0596","1º BBM / 1ª CIA / 3º PEL / ASSUNÇÃO","-30.091561037647182","-51.24909639358521","DE ANIMAL",""
"PORTO ALEGRE","767768","01/05/2025 - 10:38","PRAIA DE BELAS","EDVALDO PEREIRA PAIVA","ATENDIMENTO PRÉ-HOSPITALAR","AR-0766","1º BBM / 1ª CIA / 2º PEL / TERESÓPOLIS","-30.046566067031776","-51.23268127441407","OCORRÊNCIA DE VULTO",""
"PORTO ALEGRE","767769","01/05/2025 - 10:51","PROTÁSIO ALVES","JOÃO DA SILVA BUENO","SALVAMENTO/BUSCA/RESGATE","ABT-0600","1º BBM / 2ª CIA / 2º PEL / PASSO D`AREIA","-30.039173274167695","-51.130660772323616","SUICÍDIO/TENTATIVA",""
"PORTO ALEGRE","767769","01/05/2025 - 10:51","PROTÁSIO ALVES","JOÃO DA SILVA BUENO","SALVAMENTO/BUSCA/RESGATE","ABTS-866","BBS / 1ª CIA / 1º PEL / TERRESTRE","-30.03974911452843","-51.130671501159675","SUICÍDIO/TENTATIVA",""
"PORTO ALEGRE","767771","01/05/2025 - 10:57","FARROUPILHA","VENANCIO AIRES","PRODUTOS PERIGOSOS","ABT-0595","1º BBM / 1ª CIA / 1º PEL / AÇORIANOS","-30.04259111632065","-51.21879657725461","EXPLOSIVO",""
"PORTO ALEGRE","767783","01/05/2025 - 11:38","CENTRO","BORGES DE MEDEIROS","INCÊNDIO","ABT-0595","1º BBM / 1ª CIA / 1º PEL / AÇORIANOS","-30.03521660313168","-51.228047161814494","CONTAINER",""
"PORTO ALEGRE","767793","01/05/2025 - 12:50","FARRAPOS","GRACIANO CAMOZZATO","ATENDIMENTO PRÉ-HOSPITALAR","AR-0766","1º BBM / 1ª CIA / 2º PEL / TERESÓPOLIS","-29.979472065528373","-51.193327903747566","OCORRÊNCIA DE VULTO",""
"PORTO ALEGRE","767810","01/05/2025 - 14:03","IPANEMA","EDGAR LUIZ SCHNEIDER","AVERIGUAÇÃO/MANEJO DE INSETOS","ABT-0596","1º BBM / 1ª CIA / 3º PEL / ASSUNÇÃO","-30.12407354835159","-51.236672319538876","VISTORIA",""
