"Cidade","Nº Oc.","Data","Bairro","Local","Emergência","Viaturas","Obm.","Latitude","Longitude","todos_subgrupos","Detalhar"
"PORTO ALEGRE","746449","01/03/2025 - 00:10","CENTRO","VOLUNTÁRIOS DA PÁTRIA","INCÊNDIO","ABT-0595","1º BBM / 1ª CIA / 1º PEL / AÇORIANOS","-30.026555028879137","-51.22007489204407","LIXO",""
"PORTO ALEGRE","746452","01/03/2025 - 00:56","AZENHA","IPIRANGA","AÇÕES PREVENTIVAS","ABT-0595","1º BBM / 1ª CIA / 1º PEL / AÇORIANOS","-30.046840035562532","-51.21124505996705","APOIO À PESSOA OU INSTITUIÇÃO",""
"PORTO ALEGRE","746460","01/03/2025 - 02:14","AUXILIADORA","EUDORO BERLINK","INCÊNDIO","ABT-0597","1º BBM / 2ª CIA / 1º PEL / FLORESTA","-30.023958731310707","-51.18830680847168","TRANSFORMADOR/REDE ELÉTRICA",""
"PORTO ALEGRE","746477","01/03/2025 - 05:04","FLORESTA","AVENIDA FARRAPOS","AÇÕES PREVENTIVAS","ABT-0597","1º BBM / 2ª CIA / 1º PEL / FLORESTA","-30.017158803312874","-51.2079405784607","APOIO À PESSOA OU INSTITUIÇÃO",""
"PORTO ALEGRE","746494","01/03/2025 - 08:54","VILA JOÃO PESSOA","ÂNGELO BARCELOS","INCÊNDIO","ABT-1364","1º BBM / 2ª CIA / 3º PEL / PARTENON","-30.06534276596084","-51.17506759420842","EDIFICAÇÃO RESIDENCIAL UNIFAMILIAR",""
"PORTO ALEGRE","746519","01/03/2025 - 09:53","ARQUIPÉLAGO","JOÃO INÁCIO DA SILVEIRA","AVERIGUAÇÃO/MANEJO DE INSETOS","ABT-0597","1º BBM / 2ª CIA / 1º PEL / FLORESTA","-29.99872605292413","-51.223905086517334","VISTORIA",""
"PORTO ALEGRE","746524","01/03/2025 - 10:03","SANTA TEREZA","CORRÊA LIMA","AÇÕES PREVENTIVAS","ABT-0595","1º BBM / 1ª CIA / 1º PEL / AÇORIANOS","-30.07161944372205","-51.22891545295716","VISTORIA DE HIDRANTES",""
"PORTO ALEGRE","746527","01/03/2025 - 10:22","SANTA TEREZA","RUA BANCO DA PROVINCIA","AÇÕES PREVENTIVAS","ABT-0595","1º BBM / 1ª CIA / 1º PEL / AÇORIANOS","-30.07153588110031","-51.22743487358094","VISTORIA DE HIDRANTES",""
"PORTO ALEGRE","746538","01/03/2025 - 10:44","RUBEM BERTA","DOUTOR OSVALDO DEGRAZIA","AVERIGUAÇÃO/MANEJO DE INSETOS","ABT-0600","1º BBM / 2ª CIA / 2º PEL / PASSO D`AREIA","-30.00272134495637","-51.107819294741","VISTORIA",""
"PORTO ALEGRE","746543","01/03/2025 - 11:01","FLORESTA","COMENDADOR CORUJA","AVERIGUAÇÃO/MANEJO DE INSETOS","ABT-0597","1º BBM / 2ª CIA / 1º PEL / FLORESTA","-30.02490622524332","-51.21276855468751","VISTORIA",""
"PORTO ALEGRE","746546","01/03/2025 - 11:18","RUBEM BERTA","GENERAL TELINO CHAGASTELLES","AÇÕES PREVENTIVAS","ABT-0600","1º BBM / 2ª CIA / 2º PEL / PASSO D`AREIA","-30.00305582722469","-51.10739167264294","VISTORIA DE HIDRANTES",""
"PORTO ALEGRE","746547","01/03/2025 - 11:19","RUBEM BERTA","LAURO RODRIGUES","AÇÕES PREVENTIVAS","ABT-0600","1º BBM / 2ª CIA / 2º PEL / PASSO D`AREIA","-30.003427472867102","-51.10842180424806","VISTORIA DE HIDRANTES",""
"PORTO ALEGRE","746552","01/03/2025 - 11:34","GLÓRIA","CORONEL LEONARDO RIBEIRO","AÇÕES PREVENTIVAS","ABT-0594","1º BBM / 1ª CIA / 2º PEL / TERESÓPOLIS","-30.076707345949398","-51.19804859161378","VISTORIA DE HIDRANTES",""
"PORTO ALEGRE","746553","01/03/2025 - 11:36","GLÓRIA","CORONEL LEONARDO RIBEIRO","AÇÕES PREVENTIVAS","ABT-0594","1º BBM / 1ª CIA / 2º PEL / TERESÓPOLIS","-30.07769147202054","-51.19903564453126","VISTORIA DE HIDRANTES",""
"PORTO ALEGRE","746567","01/03/2025 - 12:25","CHAPÉU DO SOL","EST. CHAPÉU DO SOL","AÇÕES PREVENTIVAS","ABT-0599","1º BBM / 1ª CIA / 5º PEL / BELÉM NOVO","-30.177928124146952","-51.16933822631837","VISTORIA DE HIDRANTES",""
"PORTO ALEGRE","746568","01/03/2025 - 12:26","CHAPÉU DO SOL","RUA MARCELO DOS SANTOS","AÇÕES PREVENTIVAS","ABT-0599","1º BBM / 1ª CIA / 5º PEL / BELÉM NOVO","-30.173828603360196","-51.17530345916749","VISTORIA DE HIDRANTES",""
"PORTO ALEGRE","746572","01/03/2025 - 12:41","PASSO DAREIA","MARECHAL JOSÉ INÁCIO DA SILVA","AVERIGUAÇÃO/MANEJO DE INSETOS","ABT-0597","1º BBM / 2ª CIA / 1º PEL / FLORESTA","-30.018626586797826","-51.17800712585449","VISTORIA",""
"PORTO ALEGRE","746606","01/03/2025 - 14:50","LAGEADO","CORTICEIRA","INCÊNDIO","ABT-0599","1º BBM / 1ª CIA / 5º PEL / BELÉM NOVO","-30.201427514402138","-51.146249771118164","VEGETAÇÃO",""
"PORTO ALEGRE","746609","01/03/2025 - 14:55","ESPÍRITO SANTO","DA SERRARIA","AVERIGUAÇÃO/MANEJO DE INSETOS","ABT-0596","1º BBM / 1ª CIA / 3º PEL / ASSUNÇÃO","-30.145943628774056","-51.21603012084961","VISTORIA",""
"PORTO ALEGRE","746625","01/03/2025 - 15:40","RUBEM BERTA","BALTAZAR DE OLIVEIRA GARCIA","AÇÕES PREVENTIVAS","ABT-0597","1º BBM / 2ª CIA / 1º PEL / FLORESTA","-30.01267171022802","-51.12389087677003","APOIO À PESSOA OU INSTITUIÇÃO",""
"PORTO ALEGRE","746639","01/03/2025 - 16:20","IPANEMA","LADISLAU NETO","AÇÕES PREVENTIVAS","ABT-0596","1º BBM / 1ª CIA / 3º PEL / ASSUNÇÃO","-30.14176855283745","-51.22175931930543","VISTORIA DE HIDRANTES",""
"PORTO ALEGRE","746640","01/03/2025 - 16:22","ESPÍRITO SANTO","JOÃO RIBEIRO DE BARROS","AÇÕES PREVENTIVAS","ABT-0596","1º BBM / 1ª CIA / 3º PEL / ASSUNÇÃO","-30.147446612861664","-51.21669530868531","VISTORIA DE HIDRANTES",""
"PORTO ALEGRE","746648","01/03/2025 - 16:38","CAVALHADA","DA CAVALHADA","INCÊNDIO","ABT-0594","1º BBM / 1ª CIA / 2º PEL / TERESÓPOLIS","-30.101344688123852","-51.23124361038208","VEGETAÇÃO",""
"PORTO ALEGRE","746650","01/03/2025 - 16:45","CORONEL APARÍCIO BORGES","MATOS","AVERIGUAÇÃO/MANEJO DE INSETOS","ABT-291","1º BBM / 2ª CIA / 3º PEL / PARTENON","-30.072250803472123","-51.18028164936787","EXTERMÍNIO",""
"PORTO ALEGRE","746667","01/03/2025 - 17:30","CHAPÉU DO SOL","AV JUCA BATISTA","INCÊNDIO","ABT-0599","1º BBM / 1ª CIA / 5º PEL / BELÉM NOVO","-30.172882535881826","-51.17852210998535","VEGETAÇÃO",""
"PORTO ALEGRE","746673","01/03/2025 - 18:02","AGRONOMIA","FLOR DE LIS","PRODUTOS PERIGOSOS","ABT-291","1º BBM / 2ª CIA / 3º PEL / PARTENON","-30.091059761928005","-51.125918616516536","EXPLOSIVO",""
"PORTO ALEGRE","746678","01/03/2025 - 18:21","GLÓRIA","PROFESSOR OSCAR PEREIRA","AÇÕES PREVENTIVAS","ABT-0594","1º BBM / 1ª CIA / 2º PEL / TERESÓPOLIS","-30.07334638877206","-51.20302677154542","APOIO À PESSOA OU INSTITUIÇÃO",""
"PORTO ALEGRE","746682","01/03/2025 - 18:27","RUBEM BERTA","ANTÔNIO SEVERINO","INCÊNDIO","ABT-0600","1º BBM / 2ª CIA / 2º PEL / PASSO D`AREIA","-30.024934092574835","-51.08670454042025","EDIFICAÇÃO RESIDENCIAL UNIFAMILIAR",""
"PORTO ALEGRE","746703","01/03/2025 - 19:20","MENINO DEUS","GETÚLIO VARGAS","INCÊNDIO","ABT-0595","1º BBM / 1ª CIA / 1º PEL / AÇORIANOS","-30.053373263974148","-51.22212409973145","CONTAINER",""
"PORTO ALEGRE","746730","01/03/2025 - 20:06","ESPÍRITO SANTO","JOÃO RIBEIRO DE BARROS","AVERIGUAÇÃO/MANEJO DE INSETOS","ABT-0596","1º BBM / 1ª CIA / 3º PEL / ASSUNÇÃO","-30.147075507808424","-51.2183690071106","VISTORIA",""
"PORTO ALEGRE","746734","01/03/2025 - 20:15","HÍPICA","THEREZINHA ROCHA DA SILVA","AVERIGUAÇÃO/MANEJO DE INSETOS","ABT-0599","1º BBM / 1ª CIA / 5º PEL / BELÉM NOVO","-30.15967374348412","-51.177470684051514","VISTORIA",""
