"Cidade","Nº Oc.","Data","Bairro","Local","Emergência","Viaturas","Obm.","Latitude","Longitude","todos_subgrupos","Detalhar"
"PORTO ALEGRE","701676","01/11/2024 - 00:50","PASSO DAREIA","ASSIS BRASIL","INCÊNDIO","ABT-1363","1º BBM / 2ª CIA / 2º PEL / PASSO D`AREIA","-30.0113431896738","-51.16596962626413","LIXO",""
"PORTO ALEGRE","701693","01/11/2024 - 03:11","RESTINGA","BISPO MARINO PRUDÊNCIO MOREIRA","INCÊNDIO","ABT-1364","1º BBM / 1ª CIA / 4º PEL / RESTINGA","-30.152261574358345","-51.13332152366638","EDIFICAÇÃO RESIDENCIAL UNIFAMILIAR",""
"PORTO ALEGRE","701693","01/11/2024 - 03:11","RESTINGA","BISPO MARINO PRUDÊNCIO MOREIRA","INCÊNDIO","ABT-1226","1º BBM / 1ª CIA / 5º PEL / BELÉM NOVO","-30.152808925045452","-51.13354682922364","EDIFICAÇÃO RESIDENCIAL UNIFAMILIAR",""
"PORTO ALEGRE","701711","01/11/2024 - 07:36","PONTA GROSSA","ESTRADA RETIRO DA PONTA GROSSA","AVERIGUAÇÃO/MANEJO DE INSETOS","ABT-1226","1º BBM / 1ª CIA / 5º PEL / BELÉM NOVO","-30.18549602210943","-51.197125911712654","EXTERMÍNIO",""
"PORTO ALEGRE","701713","01/11/2024 - 08:07","PRAIA DE BELAS","AURELIANO DE FIGUEIREDO PINTO","ATENDIMENTO PRÉ-HOSPITALAR","ABT-1366","1º BBM / 1ª CIA / 1º PEL / AÇORIANOS","-30.0428047275403","-51.22754216194153","DESENCARCERAMENTO",""
"PORTO ALEGRE","701713","01/11/2024 - 08:07","PRAIA DE BELAS","AURELIANO DE FIGUEIREDO PINTO","ATENDIMENTO PRÉ-HOSPITALAR","AR-0455","1º BBM / 1ª CIA / 2º PEL / TERESÓPOLIS","-30.043018338299383","-51.227767467498786","",""
"PORTO ALEGRE","701721","01/11/2024 - 09:03","RESTINGA","BISPO MARINO PRUDÊNCIO MOREIRA","INCÊNDIO","ABT-1364","1º BBM / 1ª CIA / 4º PEL / RESTINGA","-30.15266049126099","-51.1335575580597","EDIFICAÇÃO RESIDENCIAL UNIFAMILIAR",""
"PORTO ALEGRE","701732","01/11/2024 - 09:38","NAVEGANTES","AV. MAUÁ","SALVAMENTO/BUSCA/RESGATE","EAL-715","BBS / 2ª CIA / 1º PEL / AQUÁTICA","-29.99523236342465","-51.208090782165534","AFOGAMENTO",""
"PORTO ALEGRE","701742","01/11/2024 - 09:56","TERESÓPOLIS","OCTÁVIO DE SOUZA","AVERIGUAÇÃO/MANEJO DE INSETOS","ABT-327","1º BBM / 1ª CIA / 2º PEL / TERESÓPOLIS","-30.08580549684829","-51.22242450714112","EXTERMÍNIO",""
"PORTO ALEGRE","701744","01/11/2024 - 10:02","PETRÓPOLIS","EÇA DE QUEIROZ","ATENDIMENTO PRÉ-HOSPITALAR","AR-0455","1º BBM / 1ª CIA / 2º PEL / TERESÓPOLIS","-30.046733234361","-51.192812919616706","",""
