"Cidade","Nº Oc.","Data","Bairro","Local","Emergência","Viaturas","Obm.","Latitude","Longitude","todos_subgrupos","Detalhar"
"PORTO ALEGRE","827637","01/11/2025 - 02:59","CENTRO HISTÓRICO","RUA DUQUE DE CAXIAS","AÇÕES PREVENTIVAS","ABT-1364","1º BBM / 1ª CIA / 1º PEL / AÇORIANOS","-30.033656182980625","-51.22787474594503","APOIO À PESSOA OU INSTITUIÇÃO",""
"PORTO ALEGRE","827639","01/11/2025 - 03:52","CIDADE BAIXA","LOPO GONÇALVES","INCÊNDIO","ABT-1364","1º BBM / 1ª CIA / 1º PEL / AÇORIANOS","-30.040715032779538","-51.21944188080221","CONTAINER",""
"PORTO ALEGRE","827643","01/11/2025 - 06:00","TERESÓPOLIS","RUA FERNANDO OSORIO","INCÊNDIO","ABT-0594","1º BBM / 1ª CIA / 2º PEL / TERESÓPOLIS","-30.089184596889115","-51.20210412567223","MEIO DE TRANSPORTE",""
"PORTO ALEGRE","827672","01/11/2025 - 09:51","LOMBA DO PINHEIRO","ESTRADA JOÃO DE OLIVEIRA REMIÃO","AVERIGUAÇÃO/CORTE DE ÁRVORE","ABT-0598","1º BBM / 1ª CIA / 4º PEL / RESTINGA","-30.13503239124785","-51.09492301940919","CORTE PARCIAL | VISTORIA",""
"PORTO ALEGRE","827682","01/11/2025 - 10:18","MEDIANEIRA","R. NUNES","AÇÕES PREVENTIVAS","ABT-0594","1º BBM / 1ª CIA / 2º PEL / TERESÓPOLIS","-30.070449560596444","-51.20897054672242","VISTORIA DE HIDRANTES",""
"PORTO ALEGRE","827684","01/11/2025 - 10:20","BELÉM VELHO","AV. PROF OSCAR PEREIRA","AÇÕES PREVENTIVAS","ABT-0594","1º BBM / 1ª CIA / 2º PEL / TERESÓPOLIS","-30.070802383948052","-51.2044644355774","VISTORIA DE HIDRANTES",""
"PORTO ALEGRE","827686","01/11/2025 - 10:28","SARANDI","ENGENHEIRO FERNANDO DE ABREU PEREIRA","AVERIGUAÇÃO/MANEJO DE INSETOS","ABT-0600","1º BBM / 2ª CIA / 2º PEL / PASSO D`AREIA","-30.004918265103964","-51.13412618637086","VISTORIA",""
"PORTO ALEGRE","827697","01/11/2025 - 10:58","FARRAPOS","WALDEMAR BOEIRA DA PAIXÃO","AVERIGUAÇÃO/CORTE DE ÁRVORE","ABT-0597","1º BBM / 2ª CIA / 1º PEL / FLORESTA","-29.977915414533783","-51.19380533695222","CORTE PARCIAL",""
"PORTO ALEGRE","827703","01/11/2025 - 11:09","RESTINGA","ESTRADA JOÃO ANTÔNIO DA SILVEIRA","AÇÕES PREVENTIVAS","ABT-0598","1º BBM / 1ª CIA / 4º PEL / RESTINGA","-30.14583229570855","-51.13004922866822","VISTORIA DE HIDRANTES",""
"PORTO ALEGRE","827704","01/11/2025 - 11:09","RESTINGA","R. BISPO MARINO PRUDÊNCIO MOREIRA","AÇÕES PREVENTIVAS","ABT-0598","1º BBM / 1ª CIA / 4º PEL / RESTINGA","-30.152419285884786","-51.134147644042976","VISTORIA DE HIDRANTES",""
"PORTO ALEGRE","827710","01/11/2025 - 11:27","FARRAPOS","ODILON FUNK TUBINO","AÇÕES PREVENTIVAS","ABT-0597","1º BBM / 2ª CIA / 1º PEL / FLORESTA","-29.977855006690014","-51.19469046592713","VISTORIA DE HIDRANTES",""
"PORTO ALEGRE","827713","01/11/2025 - 11:34","LOMBA DO PINHEIRO","JOÃO DE OLIVEIRA REMIÃO","SALVAMENTO/BUSCA/RESGATE","ABT-0598","1º BBM / 1ª CIA / 4º PEL / RESTINGA","-30.124435460130186","-51.105201244354255","COLISÃO/CHOQUE",""
"PORTO ALEGRE","827713","01/11/2025 - 11:34","LOMBA DO PINHEIRO","JOÃO DE OLIVEIRA REMIÃO","SALVAMENTO/BUSCA/RESGATE","ABTS-866","BBS / 1ª CIA / 1º PEL / TERRESTRE","-30.13480970036919","-51.0949444770813","COLISÃO/CHOQUE",""
"PORTO ALEGRE","827724","01/11/2025 - 12:10","FLORESTA","CARMEM","AÇÕES PREVENTIVAS","ABT-0597","1º BBM / 2ª CIA / 1º PEL / FLORESTA","-30.0197692133323","-51.204614639282234","VISTORIA DE HIDRANTES",""
"PORTO ALEGRE","827735","01/11/2025 - 12:59","RIO BRANCO","DONA LAURA","ATENDIMENTO PRÉ-HOSPITALAR","AR-0455","1º BBM / 1ª CIA / 2º PEL / TERESÓPOLIS","-30.029392764723106","-51.20062351226807","",""
"PORTO ALEGRE","827742","01/11/2025 - 13:30","CENTRO","DA ALFÂNDEGA","AÇÕES PREVENTIVAS","ABT-1364","1º BBM / 1ª CIA / 1º PEL / AÇORIANOS","-30.02938347603127","-51.23059988021851","INSPEÇÃO/REMOÇÃO DE FONTE DE PERIGO",""
"PORTO ALEGRE","827753","01/11/2025 - 13:35","HÍPICA","FULVIO BASTOS","SALVAMENTO/BUSCA/RESGATE","ABT-0598","1º BBM / 1ª CIA / 4º PEL / RESTINGA","-30.160861123059213","-51.174402236938484","DE ANIMAL",""
"PORTO ALEGRE","827830","01/11/2025 - 16:27","PARTENON","MONTEIRO LOBATO","INCÊNDIO","ABT-1364","1º BBM / 1ª CIA / 1º PEL / AÇORIANOS","-30.05208243993084","-51.19517326354981","MEIO DE TRANSPORTE",""
"PORTO ALEGRE","827847","01/11/2025 - 17:05","TERESÓPOLIS","DOUTOR LUIZ DA SILVA FLORES","ATENDIMENTO PRÉ-HOSPITALAR","ABT-0594","1º BBM / 1ª CIA / 2º PEL / TERESÓPOLIS","-30.08130294513066","-51.21718883514405","",""
"PORTO ALEGRE","827847","01/11/2025 - 17:05","TERESÓPOLIS","DOUTOR LUIZ DA SILVA FLORES","ATENDIMENTO PRÉ-HOSPITALAR","AR-0455","1º BBM / 1ª CIA / 2º PEL / TERESÓPOLIS","-30.08128437748272","-51.21718883514405","",""
"PORTO ALEGRE","827867","01/11/2025 - 17:39","AGRONOMIA","SOLDADO JOSÉ DA SILVA","AVERIGUAÇÃO/MANEJO DE INSETOS","ABT-1365","1º BBM / 2ª CIA / 3º PEL / PARTENON","-30.069001114707486","-51.14803086572586","EXTERMÍNIO",""
