"Cidade","Nº Oc.","Data","Bairro","Local","Emergência","Viaturas","Obm.","Latitude","Longitude","todos_subgrupos","Detalhar"
"PORTO ALEGRE","569016","01/10/2023 - 02:01","LOMBA DO PINHEIRO","JOÃO DE OLIVEIRA REMIÃO","ATENDIMENTO PRÉ-HOSPITALAR","ABT-1364","1º BBM / 1ª CIA / 4º PEL / RESTINGA","-30.078044269548993","-51.131443977355964","DESENCARCERAMENTO",""
"PORTO ALEGRE","569054","01/10/2023 - 06:52","RESTINGA","ABOLIÇÃO","SALVAMENTO/BUSCA/RESGATE","ABT-1364","1º BBM / 1ª CIA / 4º PEL / RESTINGA","-30.1582822648485","-51.13959789276124","DE ANIMAL",""
"PORTO ALEGRE","569070","01/10/2023 - 08:43","RUBEM BERTA","VICENTE PARIS","SALVAMENTO/BUSCA/RESGATE","ABT-1250","1º BBM / 2ª CIA / 2º PEL / PASSO D`AREIA","-29.992138080022613","-51.10051288344959","DE ANIMAL",""
"PORTO ALEGRE","569073","01/10/2023 - 08:45","CAVALHADA","PROFESSOR JORGE BAHLIS","AVERIGUAÇÃO/CORTE DE ÁRVORE","ABT-291","1º BBM / 1ª CIA / 3º PEL / ASSUNÇÃO","-30.111405800502123","-51.22975230216981","VISTORIA",""
"PORTO ALEGRE","569093","01/10/2023 - 10:37","VILA JOÃO PESSOA","ROCIO","PRODUTOS PERIGOSOS","ABT-327","1º BBM / 1ª CIA / 2º PEL / TERESÓPOLIS","-30.064804215894615","-51.178135871887214","EXPLOSIVO",""
"PORTO ALEGRE","569094","01/10/2023 - 10:38","HUMAITÁ","AV. PADRE LEOPOLDO BRENTANO","AÇÕES PREVENTIVAS","AR-0456","1º BBM / 1ª CIA / 2º PEL / TERESÓPOLIS","-29.9725761486296","-51.19450807571412","FESTAS E EVENTOS",""
"PORTO ALEGRE","569094","01/10/2023 - 10:38","HUMAITÁ","AV. PADRE LEOPOLDO BRENTANO","AÇÕES PREVENTIVAS","ABT-1365","1º BBM / 2ª CIA / 1º PEL / FLORESTA","-29.973719151127355","-51.194728680530254","APOIO À PESSOA OU INSTITUIÇÃO",""
"PORTO ALEGRE","569121","01/10/2023 - 11:47","NONOAI","XAVIER DA CUNHA","AVERIGUAÇÃO/MANEJO DE INSETOS","ABT-291","1º BBM / 1ª CIA / 3º PEL / ASSUNÇÃO","-30.095051331458283","-51.23268127441407","VISTORIA",""
"PORTO ALEGRE","569132","01/10/2023 - 12:44","MENINO DEUS","GONÇALVES DIAS","AÇÕES PREVENTIVAS","AR-0456","1º BBM / 1ª CIA / 2º PEL / TERESÓPOLIS","-30.056391312080724","-51.220300197601325","FESTAS E EVENTOS",""
"PORTO ALEGRE","569137","01/10/2023 - 13:01","VILA JARDIM","SATURNINO DE BRITO","SALVAMENTO/BUSCA/RESGATE","ABT-1250","1º BBM / 2ª CIA / 2º PEL / PASSO D`AREIA","-30.038374856843806","-51.153803344288406","COLISÃO/CHOQUE",""
"PORTO ALEGRE","569138","01/10/2023 - 13:05","CAMPO NOVO","R. DO SCHNEIDER","INCÊNDIO","ABT-1364","1º BBM / 1ª CIA / 4º PEL / RESTINGA","-30.134419990122538","-51.19905719136949","VEGETAÇÃO",""
"PORTO ALEGRE","569167","01/10/2023 - 14:27","CENTRO HISTÓRICO","PRAÇA MARECHAL DEODORO","SALVAMENTO/BUSCA/RESGATE","ABT-1366","1º BBM / 1ª CIA / 1º PEL / AÇORIANOS","-30.03267161855676","-51.230084896087654","DE ANIMAL",""
"PORTO ALEGRE","569181","01/10/2023 - 15:22","LAMI","ESTRADA OTAVIANO JOSÉ PINTO","INCÊNDIO","ABT-1226","1º BBM / 1ª CIA / 5º PEL / BELÉM NOVO","-30.231595554387155","-51.061683829478206","EDIFICAÇÃO RESIDENCIAL UNIFAMILIAR",""
"PORTO ALEGRE","569188","01/10/2023 - 16:07","TERESÓPOLIS","DR NEY CABRAL","AVERIGUAÇÃO/CORTE DE ÁRVORE","ABT-327","1º BBM / 1ª CIA / 2º PEL / TERESÓPOLIS","-30.08896180263982","-51.212596893310554","CORTE TOTAL",""
"PORTO ALEGRE","569197","01/10/2023 - 16:53","VILA ASSUNÇÃO","GUAIBA","AÇÕES PREVENTIVAS","ABT-291","1º BBM / 1ª CIA / 3º PEL / ASSUNÇÃO","-30.09824447105016","-51.26364469528199","ALAGAMENTO | INSPEÇÃO/REMOÇÃO DE FONTE DE PERIGO",""
"PORTO ALEGRE","569197","01/10/2023 - 16:53","VILA ASSUNÇÃO","GUAIBA","AÇÕES PREVENTIVAS","EMN-349","BBS / 2ª CIA / 1º PEL / AQUÁTICA","-30.097687535524315","-51.263022354730786","AQUÁTICAS | INSPEÇÃO/REMOÇÃO DE FONTE DE PERIGO",""
"PORTO ALEGRE","569271","01/10/2023 - 20:19","PETRÓPOLIS","TAQUARA","AÇÕES PREVENTIVAS","ABT-1078","BBS / 1ª CIA / 1º PEL / TERRESTRE","-30.042665414138746","-51.18495940170675","TERRESTRE",""
"PORTO ALEGRE","569295","01/10/2023 - 21:46","JARDIM ITU SABARÁ","TEN ARY TARRAGO","SALVAMENTO/BUSCA/RESGATE","ABT-1250","1º BBM / 2ª CIA / 2º PEL / PASSO D`AREIA","-30.020670303943646","-51.13133668899537","DE ANIMAL",""
"PORTO ALEGRE","569311","02/10/2023 - 00:15","FLORESTA","AV FARRAPOS","OCORRÊNCIA NÃO ATENDIDA","ABT-1365","1º BBM / 2ª CIA / 1º PEL / FLORESTA","-30.01583894810499","-51.20661395731367","",""
