"Cidade","Nº Oc.","Data","Bairro","Local","Emergência","Viaturas","Obm.","Latitude","Longitude","todos_subgrupos","Detalhar"
"PORTO ALEGRE","681027","01/09/2024 - 00:24","AUXILIADORA","CARLOS TREIN FILHO","OCORRÊNCIA NÃO ATENDIDA","ABT-1365","1º BBM / 2ª CIA / 1º PEL / FLORESTA","-30.024163093513067","-51.18740558624268","",""
"PORTO ALEGRE","681031","01/09/2024 - 01:03","JARDIM LINDÓIA","BOGOTA","SALVAMENTO/BUSCA/RESGATE","ABT-1363","1º BBM / 2ª CIA / 2º PEL / PASSO D`AREIA","-30.009113527124338","-51.14866377740789","REMOÇÃO DE FONTE DE PERIGO",""
"PORTO ALEGRE","681033","01/09/2024 - 01:14","PROTÁSIO ALVES","PROFESSOR PONTES DE MIRANDA","INCÊNDIO","ABT-1363","1º BBM / 2ª CIA / 2º PEL / PASSO D`AREIA","-30.017154147210963","-51.10824791984057","EDIFICAÇÃO MULTIFAMILIAR",""
"PORTO ALEGRE","681041","01/09/2024 - 04:10","BELÉM VELHO","AFONSO LOURENÇO MARIANTE","OCORRÊNCIA NÃO ATENDIDA","ABT-327","1º BBM / 1ª CIA / 2º PEL / TERESÓPOLIS","-30.112462147176746","-51.162621497812005","",""
"PORTO ALEGRE","681046","01/09/2024 - 05:51","SARANDI","FARIA LOBATO","INCÊNDIO","ABT-1363","1º BBM / 2ª CIA / 2º PEL / PASSO D`AREIA","-29.984165102061468","-51.12309694124922","CONTAINER | LIXO",""
"PORTO ALEGRE","681058","01/09/2024 - 07:36","SÃO GERALDO","PERNAMBUCO","INCÊNDIO","ABT-1365","1º BBM / 2ª CIA / 1º PEL / FLORESTA","-30.018199259670542","-51.20221138000489","CONTAINER",""
"PORTO ALEGRE","681076","01/09/2024 - 09:55","SANTO ANTÔNIO","SÃO FRANCISCO DE ASSIS","SALVAMENTO/BUSCA/RESGATE","ABT-1366","1º BBM / 1ª CIA / 1º PEL / AÇORIANOS","-30.05837853045221","-51.202940940856934","DE ANIMAL",""
"PORTO ALEGRE","681080","01/09/2024 - 10:23","HUMAITÁ","AV. PADRE LEOPOLDO BRENTANO","AÇÕES PREVENTIVAS","AR-0455","1º BBM / 1ª CIA / 2º PEL / TERESÓPOLIS","-29.97387712266022","-51.19483116356647","APOIO À PESSOA OU INSTITUIÇÃO",""
"PORTO ALEGRE","681080","01/09/2024 - 10:23","HUMAITÁ","AV. PADRE LEOPOLDO BRENTANO","AÇÕES PREVENTIVAS","ABT-1365","1º BBM / 2ª CIA / 1º PEL / FLORESTA","-29.97423046883548","-51.195387840271","APOIO À PESSOA OU INSTITUIÇÃO",""
"PORTO ALEGRE","681096","01/09/2024 - 10:53","MENINO DEUS","RAFAEL SAADI","AVERIGUAÇÃO/CORTE DE ÁRVORE","ABT-1366","1º BBM / 1ª CIA / 1º PEL / AÇORIANOS","-30.055258394037256","-51.22755289077759","CORTE TOTAL",""
"PORTO ALEGRE","681109","01/09/2024 - 11:59","SARANDI","ASSIS BRASIL","INCÊNDIO","ABT-1227","1º BBM / 2ª CIA / 2º PEL / PASSO D`AREIA","-30.006897660440497","-51.140815667704366","LIXO",""
"PORTO ALEGRE","681132","01/09/2024 - 14:03","NONOAI","ERECHIM","INCÊNDIO","ABT-327","1º BBM / 1ª CIA / 2º PEL / TERESÓPOLIS","-30.091913785703916","-51.21542930603028","VEGETAÇÃO",""
"PORTO ALEGRE","681142","01/09/2024 - 14:42","SANTANA","AVENIDA JERONIMO DE ORNELAS","INCÊNDIO","ABT-1366","1º BBM / 1ª CIA / 1º PEL / AÇORIANOS","-30.040677882251703","-51.20965719223023","CONTAINER | LIXO",""
"PORTO ALEGRE","681178","01/09/2024 - 16:47","SÃO GERALDO","BUARQUE DE MACEDO","AÇÕES PREVENTIVAS","ABT-1365","1º BBM / 2ª CIA / 1º PEL / FLORESTA","-30.011361775208503","-51.202340126037605","APOIO À PESSOA OU INSTITUIÇÃO",""
"PORTO ALEGRE","681180","01/09/2024 - 17:01","BOM FIM","SANTO ANTONIO","OCORRÊNCIA NÃO ATENDIDA","ABT-1366","1º BBM / 1ª CIA / 1º PEL / AÇORIANOS","-30.033136036675252","-51.2144422531128","",""
"PORTO ALEGRE","681194","01/09/2024 - 17:51","CORONEL APARÍCIO BORGES","MANOEL BITENCOURT","INCÊNDIO","ABT-327","1º BBM / 1ª CIA / 2º PEL / TERESÓPOLIS","-30.081405067132014","-51.173372268676765","VEGETAÇÃO",""
"PORTO ALEGRE","681219","01/09/2024 - 19:09","TIMBAUVA 3","IGREJINHA","INCÊNDIO","ABT-1227","1º BBM / 2ª CIA / 2º PEL / PASSO D`AREIA","-30.021589956863515","-51.088507292028794","MEIO DE TRANSPORTE",""
"PORTO ALEGRE","681268","01/09/2024 - 22:23","HÍPICA","RUA ADALBERTO GARCIA","INCÊNDIO","ABT-1364","1º BBM / 1ª CIA / 4º PEL / RESTINGA","-30.149858761679763","-51.163716316223145","VEGETAÇÃO",""
"PORTO ALEGRE","681279","02/09/2024 - 00:02","SARANDI","AV DIQUE IV VILA NOVA BRASILIA","INCÊNDIO","ABT-1227","1º BBM / 2ª CIA / 2º PEL / PASSO D`AREIA","-29.983337973839095","-51.13770967049131","EDIFICAÇÃO RESIDENCIAL UNIFAMILIAR",""
"PORTO ALEGRE","681279","02/09/2024 - 00:02","SARANDI","AV DIQUE IV VILA NOVA BRASILIA","OCORRÊNCIA NÃO ATENDIDA","ATP-201","1º BBM / ESTADO MAIOR","-29.9851083","-51.1373649","",""
"PORTO ALEGRE","681284","02/09/2024 - 00:33","FLORESTA","PERNAMBUCO","INCÊNDIO","ABT-1365","1º BBM / 2ª CIA / 1º PEL / FLORESTA","-30.00483971361336","-51.1985206604004","CONTAINER",""
"PORTO ALEGRE","681292","02/09/2024 - 03:01","SÃO GERALDO","CAIRÚ","INCÊNDIO","ABT-1365","1º BBM / 2ª CIA / 1º PEL / FLORESTA","-30.00465389361094","-51.19888544082642","CONTAINER",""
"PORTO ALEGRE","681300","02/09/2024 - 06:56","CAVALHADA","FAMÍLIA GONÇALVES CARNEIRO","SALVAMENTO/BUSCA/RESGATE","ABT-291","1º BBM / 1ª CIA / 3º PEL / ASSUNÇÃO","-30.114635533879273","-51.22684476446417","DE ANIMAL",""
"PORTO ALEGRE","681302","02/09/2024 - 07:28","BOM FIM","OSVALDO ARANHA","INCÊNDIO","ABT-1366","1º BBM / 1ª CIA / 1º PEL / AÇORIANOS","-30.03252300429921","-51.218562126159675","MEIO DE TRANSPORTE | OCORRÊNCIA DE VULTO",""
"PORTO ALEGRE","681318","02/09/2024 - 08:46","RUBEM BERTA","DOUTOR PAULO SMANIA","AÇÕES PREVENTIVAS","ABT-1227","1º BBM / 2ª CIA / 2º PEL / PASSO D`AREIA","-30.01539369936768","-51.095373640438034","APOIO À PESSOA OU INSTITUIÇÃO",""
"PORTO ALEGRE","681322","02/09/2024 - 09:07","RESTINGA","DO CHORÃO","SALVAMENTO/BUSCA/RESGATE","ABT-1364","1º BBM / 1ª CIA / 4º PEL / RESTINGA","-30.146073517191702","-51.14813805054384","DE ANIMAL",""
"PORTO ALEGRE","681395","02/09/2024 - 14:52","JARDIM DO SALSO","JOAQUIM PORTO VILLANOVA","TROTE","ABT-1227","1º BBM / 2ª CIA / 2º PEL / PASSO D`AREIA","-30.05516551105705","-51.15972524539035","",""
"PORTO ALEGRE","681434","02/09/2024 - 16:22","ABERTA DOS MORROS","ESTRADA JORGE PEREIRA NUNES","INCÊNDIO","ABT-1364","1º BBM / 1ª CIA / 4º PEL / RESTINGA","-30.16013756533245","-51.19749069213868","VEGETAÇÃO",""
"PORTO ALEGRE","681436","02/09/2024 - 16:24","IPANEMA","CONSELHEIRO XAVIER DA COSTA","AVERIGUAÇÃO/CORTE DE ÁRVORE","ABT-291","1º BBM / 1ª CIA / 3º PEL / ASSUNÇÃO","-30.13002636874899","-51.23218772730041","CORTE PARCIAL",""
"PORTO ALEGRE","681439","02/09/2024 - 16:31","TERESÓPOLIS","PINDORAMA","INCÊNDIO","ABT-327","1º BBM / 1ª CIA / 2º PEL / TERESÓPOLIS","-30.078954110000296","-51.207060813903816","EDIFICAÇÃO RESIDENCIAL UNIFAMILIAR | LIXO",""
"PORTO ALEGRE","681470","02/09/2024 - 17:35","ABERTA DOS MORROS","DOUTOR MARQUES PEREIRA","INCÊNDIO","ABT-327","1º BBM / 1ª CIA / 2º PEL / TERESÓPOLIS","-30.153662414971077","-51.20433568954468","VEGETAÇÃO",""
"PORTO ALEGRE","681470","02/09/2024 - 17:35","ABERTA DOS MORROS","DOUTOR MARQUES PEREIRA","INCÊNDIO","ABT-291","1º BBM / 1ª CIA / 3º PEL / ASSUNÇÃO","-30.15347686716392","-51.20497942631783","VEGETAÇÃO",""
"PORTO ALEGRE","681470","02/09/2024 - 17:35","ABERTA DOS MORROS","DOUTOR MARQUES PEREIRA","INCÊNDIO","ABT-1226","1º BBM / 1ª CIA / 5º PEL / BELÉM NOVO","-30.153699523061178","-51.20478630065919","VEGETAÇÃO",""
"PORTO ALEGRE","681498","02/09/2024 - 19:36","RESTINGA","CRISTIANO KRAMER","INCÊNDIO","APP-9787","BBS / 1ª CIA / 1º PEL / TERRESTRE","-30.151510121857314","-51.15075588226319","VEGETAÇÃO",""
